# created: Thu Nov 14 02:00:04 2013
# <aid>|<type>|<language>|<title>
# type: 1=primary title (one per anime), 2=synonyms (multiple per anime), 3=shorttitles (multiple per anime), 4=official title (one per language)
1824|4|ko|여기는 잘나가는 파출소
5209|4|ja|デッド ガールズ レッド ガーデン
6107|2|ko|강철의 연금술사 리메이크
2253|2|ko|애자매 꽃봉오리... 더럽혀 주세요
3070|4|ja|ゾイド ジェネシス
10235|4|ja|バディ スピリッツ
6558|2|ko|당신만 안녕하세요
6546|4|ko|성검의 블랙스미스
22|4|ko|신세기 에반게리온
957|4|ko|용자왕 가오가이거
5182|4|ko|카이트 리버레이터
202|4|ko|신세기 에반게리온 - 엔드 오브 에바
326|4|ko|신세기 에반게리온 - 죽음과 재생
2665|2|ko|새내기 여행가이드 리나
4023|2|ja|レモン エンジェル プロジェクト
4224|2|th|โซล ลิ้งค์
2704|4|ja|のぞみ ウィッチィズ
5182|2|ja|カイト リベレイター
321|4|ko|천공의 에스카폴로네
2102|4|ja|あずみ マンマ★ミーア
5229|4|ja|チスト みどりのおやゆび
7228|4|ja|ナルト サ・クロスローズ
1810|2|ja|クラウ ファントムメモリー
241|2|th|ทัช ยอดรักนักกีฬา
2068|2|th|ริน สาวน้อยจอมแก่น
6088|4|ko|카오스;헤드
6088|4|ja|カオス;ヘッド
8673|2|ja|コード:ブレイカー
1050|4|ja|ブラム!
6154|4|ja|レイプ! レイプ! レイプ!
6154|2|ko|레이프! 레이프! 레이프!
2705|4|ja|へーい! ブンブー
9608|4|ko|날아라! 우주전함 거북선
6361|4|ja|おーい! アダッチー
7517|4|ja|すてき! さくらママ
2067|4|ja|ハロー! レディリン
1924|4|ja|ハロー! サンディベル
9828|4|ja|おこれ!!ノンクロ
4565|4|ja|ネギま!?
6258|4|ja|こばと.
9119|4|ja|ぬっこ.
914|4|ja|バイオ·ハンター
6434|4|ja|マリー&ガリー
8975|4|ja|パブー&モジーズ
4143|4|th|นานะ
9418|4|ja|あいうら
6782|4|ja|あきそら
7944|4|ja|あぐかる
7400|3|ja|あそいく
6002|4|ja|あねいも
5534|4|ja|あまつき
8564|3|ja|いぬぼく
8211|3|ja|うさドロ
8259|3|ja|うたプリ
335|3|ja|うみきこ
16|3|ja|おねてぃ
6571|3|ja|おまひま
7525|3|ja|おれいも
8112|3|ja|おれつば
6704|4|ja|かうもり
6531|4|ja|かなめも
5575|4|ja|かのこん
5720|4|ja|かんなぎ
5791|4|ja|がきデカ
5235|3|ja|がでがで
9524|2|ja|がをられ
5235|3|ja|きみある
6485|4|ja|きみはぐ
6619|4|ja|くるねこ
306|3|ja|くれぶた
203|4|ja|こげぱん
9984|3|ja|こばかわ
8403|4|ja|こぴはん
7674|3|ja|これゾン
1330|4|ja|ごくせん
640|3|ja|すてプリ
7610|4|ja|せめちち
10134|2|ja|そにアニ
7438|4|ja|たまゆら
9988|4|ja|たゆたゆ
6062|3|ja|ちいこい
9175|4|ja|てっぺん
5625|2|ja|とらぶる
2214|3|ja|どたから
8620|3|ja|なつまち
5226|3|ja|にこぷん
9801|4|ja|のうりん
9787|3|ja|のうコメ
5032|4|ja|のらくろ
5624|4|ja|のらみみ
5279|3|ja|はぴクロ
4536|3|ja|はるおと
4853|4|ja|ひとひら
9375|4|ja|ひめゆり
323|4|ja|ぴたテン
490|2|ja|ふぇいく
6952|4|ja|ふくすけ
1708|4|ja|ぷぎゅる
327|3|ja|ぼくたま
4861|4|ja|ぼくらの
7523|4|ja|ぼのぼの
4919|4|ja|ぽてまよ
836|4|ja|ぽぽたん
8087|3|ja|まいかて
8230|3|ja|まじこい
8069|3|ja|まどマギ
1057|4|ja|まぶらほ
1328|4|ja|みずいろ
4309|4|ja|みなみけ
2697|4|ja|めじょく
3475|4|ja|めもりい
5185|4|ja|もえたん
8027|4|ja|もしドラ
9154|3|ja|やきカプ
9392|4|ja|ゆめくり
1268|4|ja|ゆめりあ
8353|4|ja|ゆるゆり
5275|4|ja|よつのは
6795|3|ja|よなペン
4932|3|ja|らっきょ
6647|4|ja|らんぽう
90|3|ja|るろけん
8110|2|ja|アオーク
8937|4|ja|アシュラ
8509|4|ja|アテルイ
8556|2|ja|アナザー
10058|4|ja|アニサバ
9215|4|ja|アニメカ
7997|4|ja|アマナツ
5446|4|ja|アヤカシ
398|4|ja|アリオン
10202|4|ja|アルモニ
710|3|ja|ウルマニ
887|4|ja|エイケン
8983|4|ja|エゴママ
2368|4|ja|エリアル
7996|3|ja|カコカワ
744|4|ja|カナリア
221|2|ja|カラフル
1907|4|ja|カリメロ
240|4|ja|ガサラキ
3346|4|ja|ガタピシ
3490|4|ja|ガッデム
9682|4|ja|ガーデン
4452|4|ja|キクマナ
5676|4|ja|キレパパ
5101|2|ja|クラナド
9345|4|ja|クローズ
510|3|ja|グリグリ
2493|2|ja|グリード
6082|2|ja|グレパラ
113|2|ja|サイカノ
5108|4|ja|シグルイ
5549|4|ja|シゴフミ
4239|4|ja|シムーン
7729|3|ja|シュタゲ
2054|2|ja|シンカン
2535|4|ja|ジパング
7882|4|ja|ジュノー
6044|4|ja|スイッチ
8039|3|ja|スケダン
7240|3|ja|スタスカ
7591|3|ja|スタドラ
1872|3|ja|ステスタ
4223|3|ja|ストパニ
4480|4|ja|スピード
7921|3|ja|セカコイ
5786|4|ja|セキレイ
3359|4|ja|ゼビウス
6783|3|ja|ソラヲト
1128|4|ja|ダーリン
8479|4|ja|チャイム
5227|4|ja|チンプイ
5290|4|ja|ドカチン
3482|4|ja|ドカベン
180|3|ja|ナデシコ
9903|4|ja|ニセコイ
9925|4|ja|ノラガミ
13|4|ja|ノワール
8096|3|ja|ハイデカ
2194|4|ja|ハゼドン
8327|3|ja|ハトよめ
8337|3|ja|ハトアリ
10169|4|ja|ハマトラ
3307|4|ja|ハードル
3401|3|ja|パパキス
4191|4|ja|パプリカ
1237|3|ja|パワドル
1482|3|ja|パンドラ
3205|4|ja|パーマン
6479|4|ja|ヒゲぴよ
5910|4|ja|ヒャッコ
1118|2|ja|ビッグＸ
6039|4|ja|ピカドン
3288|4|ja|ピロッポ
139|4|ja|フォトン
8176|4|ja|フジログ
117|4|ja|フリクリ
2369|2|ja|ブリーチ
8162|4|ja|ブレイド
3202|4|ja|プッシュ
7945|3|ja|プリまじ
8240|3|ja|プリリズ
8328|4|ja|プ～ねこ
181|3|ja|ベルばら
8292|2|ja|ベントー
5901|3|ja|ペンもん
4074|4|ja|マジカノ
4621|3|ja|マジプリ
2056|4|ja|マップス
8069|3|ja|マドマギ
3199|4|ja|マドンナ
770|4|ja|ミニパト
5212|4|ja|ムシウタ
7261|3|ja|ムダヅモ
1007|4|ja|ムーミン
2168|4|ja|メジャー
120|3|ja|メモオフ
8386|4|ja|モグモグ
5016|3|ja|モザイカ
7443|3|ja|モーパイ
3337|4|ja|ヤダモン
35|4|ja|ラブひな
2815|2|ja|ラブレス
8716|3|ja|リコラン
9132|3|ja|リトバス
5169|4|ja|ロボタン
6528|2|ko|감옥전함
1613|4|ko|강아지똥
1981|2|ko|개인택시
1304|2|ko|건드레스
4193|4|ko|게드전기
5855|4|ko|겨울연가
6677|2|ko|공중그네
7980|2|ko|교육지도
1085|2|ko|길가메시
2563|2|ko|나선회랑
1721|2|ko|노예개호
6368|4|ko|누들누드
21|4|ko|달빛천사
4563|4|ko|데스노트
231|4|ko|드래곤볼
2855|4|ko|메르헤븐
262|2|ko|메모리즈
5113|4|ko|모노노케
5212|4|ko|무시우타
4309|4|ko|미나미가
1328|2|ko|미즈이로
9646|4|ko|번개아텀
9646|2|ko|번개아톰
2770|4|ko|봉봉차차
7042|4|ko|블루시걸
8642|4|ko|산카레아
5289|2|ko|상간유희
235|3|ko|세일러문
1642|2|ko|섹스친구
6406|2|ko|스트레타
9113|4|ko|스피어즈
5108|4|ko|시구루이
1988|2|ko|실격의사
6002|2|x-kot|아네이모
325|4|ko|아따맘마
2592|4|ko|아마게돈
7467|2|ko|아이☆캔
6782|2|ko|아키소라
9358|4|ko|암네시아
7988|2|ko|애처일기
1312|4|ko|애플씨드
735|2|ko|야근병동
1728|2|ko|언밸런스
1340|4|ko|엘리시움
1544|4|ko|엘펜리트
8890|4|ko|여기저기
1722|2|ko|여랑광유
5609|2|ko|연결방식
5205|2|ko|연쇄병동
8047|4|ko|왕후심청
1691|2|ko|우로츠키
8865|4|ko|우주형제
7|2|ko|원령공주
2027|2|ko|월화미인
1852|2|ko|육체전이
1283|2|x-kot|음박학염
8040|2|ko|의태최면
144|4|ko|이누야샤
6231|2|ko|인공소녀
1434|2|ko|인심유희
2837|2|ko|절대소년
8899|4|ko|죠시라쿠
5535|2|ko|쿠레나이
4194|2|x-kot|클리비지
53|4|ko|트라이건
4191|4|ko|파프리카
1943|2|ko|폐쇄병동
701|4|ko|폭렬헌터
2012|2|ko|폭유모랑
117|4|ko|프리크리
481|4|ko|학교괴담
7038|4|ko|해피데이
1581|2|ko|황금박쥐
9636|4|ko|황금철인
1872|2|ja|ステディ×スタディ
8565|4|ja|ハンター×ハンター
7484|2|ko|아키소라 ~꿈속~
9107|4|ja|たまゆら ~もあぐれっしぶ~
3040|4|ko|북두신권 - 유리아전
3038|4|ko|북두신권 - 라오우전 순애의 장
332|4|ko|반딧불의 묘
4231|4|ko|장금이의 꿈
9394|4|ko|코토우라 양
4935|4|ko|피아노의 숲
427|4|ja|マクロス ゼロ
7457|2|ko|간음특급 만조
2597|2|ko|기파이터 태랑
7105|4|ko|꼬마여우 요랑
39|4|ko|마법소녀 리나
1358|2|ko|마법소녀 아이
427|4|ko|마크로스 제로
7|4|ko|모노노케 히메
6755|4|ko|버스데이 보이
5467|2|ko|산공주의 열매
5511|2|ko|수호요정 미셸
4616|4|ko|아기공룡 둘리
